min max (options):    16
max min (options):    4

N | selection A            | selection B  | Winning A    | Winning B    | max          | min          | e           
58    |   x1     |  y2     | [  542,   538,   486]  |  [  646,   472,   522] |  9.345 |  8.138  | 0.345
59    |   x1     |  y2     | [  546,   554,   488]  |  [  663,   476,   531] |  9.390 |  8.068  | 0.345
60    |   x2     |  y2     | [  550,   570,   490]  |  [  663,   492,   540] |  9.500 |  8.200  | 0.345
61    |   x2     |  y2     | [  554,   586,   492]  |  [  663,   508,   549] |  9.607 |  8.328  | 0.345
62    |   x2     |  y2     | [  558,   602,   494]  |  [  663,   524,   558] |  9.710 |  8.452  | 0.345
63    |   x2     |  y2     | [  562,   618,   496]  |  [  663,   540,   567] |  9.810 |  8.571  | 0.345
64    |   x2     |  y2     | [  566,   634,   498]  |  [  663,   556,   576] |  9.906 |  8.688  | 0.345
65    |   x2     |  y2     | [  570,   650,   500]  |  [  663,   572,   585] | 10.000 |  8.800  | 0.345
66    |   x2     |  y2     | [  574,   666,   502]  |  [  663,   588,   594] | 10.091 |  8.909  | 0.345
67    |   x2     |  y2     | [  578,   682,   504]  |  [  663,   604,   603] | 10.179 |  9.000  | 0.345
68    |   x2     |  y3     | [  587,   691,   523]  |  [  663,   620,   612] | 10.162 |  9.000  | 0.345
69    |   x2     |  y3     | [  596,   700,   542]  |  [  663,   636,   621] | 10.145 |  9.000  | 0.345
70    |   x2     |  y3     | [  605,   709,   561]  |  [  663,   652,   630] | 10.129 |  9.000  | 0.345
71    |   x2     |  y3     | [  614,   718,   580]  |  [  663,   668,   639] | 10.113 |  9.000  | 0.345
72    |   x2     |  y3     | [  623,   727,   599]  |  [  663,   684,   648] | 10.097 |  9.000  | 0.345
73    |   x2     |  y3     | [  632,   736,   618]  |  [  663,   700,   657] | 10.082 |  9.000  | 0.345
74    |   x2     |  y3     | [  641,   745,   637]  |  [  663,   716,   666] | 10.068 |  8.959  | 0.345
75    |   x2     |  y1     | [  658,   745,   649]  |  [  663,   732,   675] |  9.933 |  8.840  | 0.345
76    |   x2     |  y1     | [  675,   745,   661]  |  [  663,   748,   684] |  9.803 |  8.724  | 0.345
77    |   x2     |  y1     | [  692,   745,   673]  |  [  663,   764,   693] |  9.675 |  8.610  | 0.345
78    |   x2     |  y1     | [  709,   745,   685]  |  [  663,   780,   702] |  9.551 |  8.500  | 0.345
79    |   x2     |  y1     | [  726,   745,   697]  |  [  663,   796,   711] |  9.430 |  8.392  | 0.345
80    |   x2     |  y1     | [  743,   745,   709]  |  [  663,   812,   720] |  9.312 |  8.287  | 0.312
81    |   x2     |  y1     | [  760,   745,   721]  |  [  663,   828,   729] |  9.383 |  8.185  | 0.312
82    |   x1     |  y1     | [  777,   745,   733]  |  [  680,   832,   738] |  9.476 |  8.293  | 0.312
83    |   x1     |  y1     | [  794,   745,   745]  |  [  697,   836,   747] |  9.566 |  8.398  | 0.312
84    |   x1     |  y1     | [  811,   745,   757]  |  [  714,   840,   756] |  9.655 |  8.500  | 0.312
85    |   x1     |  y1     | [  828,   745,   769]  |  [  731,   844,   765] |  9.741 |  8.600  | 0.312
86    |   x1     |  y1     | [  845,   745,   781]  |  [  748,   848,   774] |  9.826 |  8.698  | 0.312
87    |   x1     |  y1     | [  862,   745,   793]  |  [  765,   852,   783] |  9.908 |  8.793  | 0.312
88    |   x1     |  y1     | [  879,   745,   805]  |  [  782,   856,   792] |  9.989 |  8.886  | 0.312
89    |   x1     |  y1     | [  896,   745,   817]  |  [  799,   860,   801] | 10.067 |  8.978  | 0.312
90    |   x1     |  y1     | [  913,   745,   829]  |  [  816,   864,   810] | 10.144 |  9.000  | 0.312
91    |   x1     |  y3     | [  922,   754,   848]  |  [  833,   868,   819] | 10.132 |  9.000  | 0.312
92    |   x1     |  y3     | [  931,   763,   867]  |  [  850,   872,   828] | 10.120 |  9.000  | 0.312
93    |   x1     |  y3     | [  940,   772,   886]  |  [  867,   876,   837] | 10.108 |  9.000  | 0.312
94    |   x1     |  y3     | [  949,   781,   905]  |  [  884,   880,   846] | 10.096 |  9.000  | 0.312
95    |   x1     |  y3     | [  958,   790,   924]  |  [  901,   884,   855] | 10.084 |  9.000  | 0.312
96    |   x1     |  y3     | [  967,   799,   943]  |  [  918,   888,   864] | 10.073 |  9.000  | 0.312
97    |   x1     |  y3     | [  976,   808,   962]  |  [  935,   892,   873] | 10.062 |  9.000  | 0.312
98    |   x1     |  y3     | [  985,   817,   981]  |  [  952,   896,   882] | 10.051 |  9.000  | 0.312
99    |   x1     |  y3     | [  994,   826,  1000]  |  [  969,   900,   891] | 10.101 |  9.000  | 0.312
100   |   x3     |  y3     | [ 1003,   835,  1019]  |  [  981,   902,   910] | 10.190 |  9.020  | 0.293
101   |   x3     |  y2     | [ 1007,   851,  1021]  |  [  993,   904,   929] | 10.109 |  8.950  | 0.293
102   |   x3     |  y2     | [ 1011,   867,  1023]  |  [ 1005,   906,   948] | 10.029 |  8.882  | 0.293
103   |   x3     |  y2     | [ 1015,   883,  1025]  |  [ 1017,   908,   967] |  9.951 |  8.816  | 0.293
104   |   x3     |  y2     | [ 1019,   899,  1027]  |  [ 1029,   910,   986] |  9.875 |  8.750  | 0.293
105   |   x3     |  y2     | [ 1023,   915,  1029]  |  [ 1041,   912,  1005] |  9.800 |  8.686  | 0.293
106   |   x3     |  y2     | [ 1027,   931,  1031]  |  [ 1053,   914,  1024] |  9.726 |  8.623  | 0.293
107   |   x3     |  y2     | [ 1031,   947,  1033]  |  [ 1065,   916,  1043] |  9.654 |  8.561  | 0.293
108   |   x3     |  y2     | [ 1035,   963,  1035]  |  [ 1077,   918,  1062] |  9.583 |  8.500  | 0.293
109   |   x1     |  y2     | [ 1039,   979,  1037]  |  [ 1094,   922,  1071] |  9.532 |  8.459  | 0.293
110   |   x1     |  y2     | [ 1043,   995,  1039]  |  [ 1111,   926,  1080] |  9.482 |  8.418  | 0.293
111   |   x1     |  y2     | [ 1047,  1011,  1041]  |  [ 1128,   930,  1089] |  9.432 |  8.378  | 0.293
112   |   x1     |  y2     | [ 1051,  1027,  1043]  |  [ 1145,   934,  1098] |  9.384 |  8.339  | 0.293
113   |   x1     |  y2     | [ 1055,  1043,  1045]  |  [ 1162,   938,  1107] |  9.336 |  8.301  | 0.293
114   |   x1     |  y2     | [ 1059,  1059,  1047]  |  [ 1179,   942,  1116] |  9.289 |  8.263  | 0.269
115   |   x1     |  y2     | [ 1063,  1075,  1049]  |  [ 1196,   946,  1125] |  9.348 |  8.226  | 0.269
116   |   x2     |  y2     | [ 1067,  1091,  1051]  |  [ 1196,   962,  1134] |  9.405 |  8.293  | 0.269
117   |   x2     |  y2     | [ 1071,  1107,  1053]  |  [ 1196,   978,  1143] |  9.462 |  8.359  | 0.269
118   |   x2     |  y2     | [ 1075,  1123,  1055]  |  [ 1196,   994,  1152] |  9.517 |  8.424  | 0.269
119   |   x2     |  y2     | [ 1079,  1139,  1057]  |  [ 1196,  1010,  1161] |  9.571 |  8.487  | 0.269
120   |   x2     |  y2     | [ 1083,  1155,  1059]  |  [ 1196,  1026,  1170] |  9.625 |  8.550  | 0.269
121   |   x2     |  y2     | [ 1087,  1171,  1061]  |  [ 1196,  1042,  1179] |  9.678 |  8.612  | 0.269
122   |   x2     |  y2     | [ 1091,  1187,  1063]  |  [ 1196,  1058,  1188] |  9.730 |  8.672  | 0.269
123   |   x2     |  y2     | [ 1095,  1203,  1065]  |  [ 1196,  1074,  1197] |  9.780 |  8.732  | 0.269
124   |   x2     |  y2     | [ 1099,  1219,  1067]  |  [ 1196,  1090,  1206] |  9.831 |  8.790  | 0.269
125   |   x2     |  y2     | [ 1103,  1235,  1069]  |  [ 1196,  1106,  1215] |  9.880 |  8.848  | 0.269
126   |   x2     |  y2     | [ 1107,  1251,  1071]  |  [ 1196,  1122,  1224] |  9.929 |  8.905  | 0.269
127   |   x2     |  y2     | [ 1111,  1267,  1073]  |  [ 1196,  1138,  1233] |  9.976 |  8.961  | 0.269
128   |   x2     |  y2     | [ 1115,  1283,  1075]  |  [ 1196,  1154,  1242] | 10.023 |  9.016  | 0.269
129   |   x2     |  y2     | [ 1119,  1299,  1077]  |  [ 1196,  1170,  1251] | 10.070 |  9.070  | 0.220
130   |   x2     |  y2     | [ 1123,  1315,  1079]  |  [ 1196,  1186,  1260] | 10.115 |  9.123  | 0.166
131   |   x2     |  y2     | [ 1127,  1331,  1081]  |  [ 1196,  1202,  1269] | 10.160 |  9.130  | 0.160
132   |   x2     |  y1     | [ 1144,  1331,  1093]  |  [ 1196,  1218,  1278] | 10.083 |  9.061  | 0.160
133   |   x2     |  y1     | [ 1161,  1331,  1105]  |  [ 1196,  1234,  1287] | 10.008 |  8.992  | 0.160
134   |   x2     |  y1     | [ 1178,  1331,  1117]  |  [ 1196,  1250,  1296] |  9.933 |  8.925  | 0.160
135   |   x2     |  y1     | [ 1195,  1331,  1129]  |  [ 1196,  1266,  1305] |  9.859 |  8.859  | 0.160
136   |   x2     |  y1     | [ 1212,  1331,  1141]  |  [ 1196,  1282,  1314] |  9.787 |  8.794  | 0.160
137   |   x2     |  y1     | [ 1229,  1331,  1153]  |  [ 1196,  1298,  1323] |  9.715 |  8.730  | 0.160
138   |   x2     |  y1     | [ 1246,  1331,  1165]  |  [ 1196,  1314,  1332] |  9.645 |  8.667  | 0.160
139   |   x2     |  y1     | [ 1263,  1331,  1177]  |  [ 1196,  1330,  1341] |  9.576 |  8.604  | 0.160
140   |   x2     |  y1     | [ 1280,  1331,  1189]  |  [ 1196,  1346,  1350] |  9.507 |  8.543  | 0.160
141   |   x2     |  y1     | [ 1297,  1331,  1201]  |  [ 1196,  1362,  1359] |  9.440 |  8.482  | 0.160
142   |   x2     |  y1     | [ 1314,  1331,  1213]  |  [ 1196,  1378,  1368] |  9.373 |  8.423  | 0.160
143   |   x2     |  y1     | [ 1331,  1331,  1225]  |  [ 1196,  1394,  1377] |  9.308 |  8.364  | 0.160
144   |   x1     |  y1     | [ 1348,  1331,  1237]  |  [ 1213,  1398,  1386] |  9.361 |  8.424  | 0.160
145   |   x1     |  y1     | [ 1365,  1331,  1249]  |  [ 1230,  1402,  1395] |  9.414 |  8.483  | 0.160
146   |   x1     |  y1     | [ 1382,  1331,  1261]  |  [ 1247,  1406,  1404] |  9.466 |  8.541  | 0.160
147   |   x1     |  y1     | [ 1399,  1331,  1273]  |  [ 1264,  1410,  1413] |  9.517 |  8.599  | 0.160
148   |   x1     |  y1     | [ 1416,  1331,  1285]  |  [ 1281,  1414,  1422] |  9.568 |  8.655  | 0.160
149   |   x1     |  y1     | [ 1433,  1331,  1297]  |  [ 1298,  1418,  1431] |  9.617 |  8.711  | 0.160
150   |   x1     |  y1     | [ 1450,  1331,  1309]  |  [ 1315,  1422,  1440] |  9.667 |  8.767  | 0.160
151   |   x1     |  y1     | [ 1467,  1331,  1321]  |  [ 1332,  1426,  1449] |  9.715 |  8.821  | 0.160
152   |   x1     |  y1     | [ 1484,  1331,  1333]  |  [ 1349,  1430,  1458] |  9.763 |  8.875  | 0.160
153   |   x1     |  y1     | [ 1501,  1331,  1345]  |  [ 1366,  1434,  1467] |  9.810 |  8.928  | 0.160
154   |   x1     |  y1     | [ 1518,  1331,  1357]  |  [ 1383,  1438,  1476] |  9.857 |  8.981  | 0.160
155   |   x1     |  y1     | [ 1535,  1331,  1369]  |  [ 1400,  1442,  1485] |  9.903 |  9.032  | 0.160
156   |   x1     |  y1     | [ 1552,  1331,  1381]  |  [ 1417,  1446,  1494] |  9.949 |  9.083  | 0.160
157   |   x1     |  y1     | [ 1569,  1331,  1393]  |  [ 1434,  1450,  1503] |  9.994 |  9.134  | 0.156
158   |   x1     |  y1     | [ 1586,  1331,  1405]  |  [ 1451,  1454,  1512] | 10.038 |  9.184  | 0.106
159   |   x1     |  y1     | [ 1603,  1331,  1417]  |  [ 1468,  1458,  1521] | 10.082 |  9.170  | 0.106
160   |   x1     |  y2     | [ 1607,  1347,  1419]  |  [ 1485,  1462,  1530] | 10.044 |  9.137  | 0.106
161   |   x1     |  y2     | [ 1611,  1363,  1421]  |  [ 1502,  1466,  1539] | 10.006 |  9.106  | 0.106
162   |   x1     |  y2     | [ 1615,  1379,  1423]  |  [ 1519,  1470,  1548] |  9.969 |  9.074  | 0.106
163   |   x1     |  y2     | [ 1619,  1395,  1425]  |  [ 1536,  1474,  1557] |  9.933 |  9.043  | 0.106
164   |   x1     |  y2     | [ 1623,  1411,  1427]  |  [ 1553,  1478,  1566] |  9.896 |  9.012  | 0.106
165   |   x1     |  y2     | [ 1627,  1427,  1429]  |  [ 1570,  1482,  1575] |  9.861 |  8.982  | 0.106
166   |   x1     |  y2     | [ 1631,  1443,  1431]  |  [ 1587,  1486,  1584] |  9.825 |  8.952  | 0.106
167   |   x1     |  y2     | [ 1635,  1459,  1433]  |  [ 1604,  1490,  1593] |  9.790 |  8.922  | 0.106
168   |   x1     |  y2     | [ 1639,  1475,  1435]  |  [ 1621,  1494,  1602] |  9.756 |  8.893  | 0.106
169   |   x1     |  y2     | [ 1643,  1491,  1437]  |  [ 1638,  1498,  1611] |  9.722 |  8.864  | 0.106
170   |   x1     |  y2     | [ 1647,  1507,  1439]  |  [ 1655,  1502,  1620] |  9.688 |  8.835  | 0.106
171   |   x1     |  y2     | [ 1651,  1523,  1441]  |  [ 1672,  1506,  1629] |  9.655 |  8.807  | 0.106
172   |   x1     |  y2     | [ 1655,  1539,  1443]  |  [ 1689,  1510,  1638] |  9.622 |  8.779  | 0.106
173   |   x1     |  y2     | [ 1659,  1555,  1445]  |  [ 1706,  1514,  1647] |  9.590 |  8.751  | 0.106
174   |   x1     |  y2     | [ 1663,  1571,  1447]  |  [ 1723,  1518,  1656] |  9.557 |  8.724  | 0.106
175   |   x1     |  y2     | [ 1667,  1587,  1449]  |  [ 1740,  1522,  1665] |  9.526 |  8.697  | 0.106
176   |   x1     |  y2     | [ 1671,  1603,  1451]  |  [ 1757,  1526,  1674] |  9.494 |  8.670  | 0.106
177   |   x1     |  y2     | [ 1675,  1619,  1453]  |  [ 1774,  1530,  1683] |  9.463 |  8.644  | 0.106
178   |   x1     |  y2     | [ 1679,  1635,  1455]  |  [ 1791,  1534,  1692] |  9.433 |  8.618  | 0.106
179   |   x1     |  y2     | [ 1683,  1651,  1457]  |  [ 1808,  1538,  1701] |  9.402 |  8.592  | 0.106
180   |   x1     |  y2     | [ 1687,  1667,  1459]  |  [ 1825,  1542,  1710] |  9.372 |  8.567  | 0.106
181   |   x1     |  y2     | [ 1691,  1683,  1461]  |  [ 1842,  1546,  1719] |  9.343 |  8.541  | 0.106
182   |   x1     |  y2     | [ 1695,  1699,  1463]  |  [ 1859,  1550,  1728] |  9.335 |  8.516  | 0.106
183   |   x2     |  y2     | [ 1699,  1715,  1465]  |  [ 1859,  1566,  1737] |  9.372 |  8.557  | 0.106
184   |   x2     |  y2     | [ 1703,  1731,  1467]  |  [ 1859,  1582,  1746] |  9.408 |  8.598  | 0.106
185   |   x2     |  y2     | [ 1707,  1747,  1469]  |  [ 1859,  1598,  1755] |  9.443 |  8.638  | 0.106
186   |   x2     |  y2     | [ 1711,  1763,  1471]  |  [ 1859,  1614,  1764] |  9.478 |  8.677  | 0.106
187   |   x2     |  y2     | [ 1715,  1779,  1473]  |  [ 1859,  1630,  1773] |  9.513 |  8.717  | 0.106
188   |   x2     |  y2     | [ 1719,  1795,  1475]  |  [ 1859,  1646,  1782] |  9.548 |  8.755  | 0.106
189   |   x2     |  y2     | [ 1723,  1811,  1477]  |  [ 1859,  1662,  1791] |  9.582 |  8.794  | 0.106
190   |   x2     |  y2     | [ 1727,  1827,  1479]  |  [ 1859,  1678,  1800] |  9.616 |  8.832  | 0.106
191   |   x2     |  y2     | [ 1731,  1843,  1481]  |  [ 1859,  1694,  1809] |  9.649 |  8.869  | 0.106
192   |   x2     |  y2     | [ 1735,  1859,  1483]  |  [ 1859,  1710,  1818] |  9.682 |  8.906  | 0.106
193   |   x2     |  y2     | [ 1739,  1875,  1485]  |  [ 1859,  1726,  1827] |  9.715 |  8.943  | 0.106
194   |   x2     |  y2     | [ 1743,  1891,  1487]  |  [ 1859,  1742,  1836] |  9.747 |  8.979  | 0.106
195   |   x2     |  y2     | [ 1747,  1907,  1489]  |  [ 1859,  1758,  1845] |  9.779 |  9.015  | 0.106
196   |   x2     |  y2     | [ 1751,  1923,  1491]  |  [ 1859,  1774,  1854] |  9.811 |  9.051  | 0.106
197   |   x2     |  y2     | [ 1755,  1939,  1493]  |  [ 1859,  1790,  1863] |  9.843 |  9.086  | 0.106
198   |   x2     |  y2     | [ 1759,  1955,  1495]  |  [ 1859,  1806,  1872] |  9.874 |  9.121  | 0.106
199   |   x2     |  y2     | [ 1763,  1971,  1497]  |  [ 1859,  1822,  1881] |  9.905 |  9.156  | 0.106
200   |   x2     |  y2     | [ 1767,  1987,  1499]  |  [ 1859,  1838,  1890] |  9.935 |  9.190  | 0.099

[Braun Robinson]
F1:    9.289
F2:   9.190
Fsr:  9.240
P: 0.507 0.443 0.045 
Q: 0.313 0.547 0.134 

[analytics (inverse matrix)]
v: 9.286
P: 0.526 0.445 0.029 
Q: 0.312 0.443 0.245 
